party,year,pattern,match,sentence,protocol_id,is_correct__fill_in
KD,2010,svenska folket,svenska folket,"Den andra frågan är: Kommer man att få ut sin ersättning i tid, eller kommer man att få vänta månadsvis? Nu har det gått över en månad med det nya regelverket, och svenska folket behöver få svar. Hur har det gått med överföringen, och hur har det gått med ersättningarna?",GX0973,
KD,2011,svenska folket,svenska folket,"Sedan har vi Alliansen, som vill se långsiktiga villkor och som vill ha en välfungerande hyresmarknad, en opolitiserad hyresmarknad. Det är upp till svenska folket att välja. Vad vill man ha?",GY0973,
KD,2014,det svenska folket,det svenska folket,"Vi har till exempel sett utvecklingen i de baltiska staterna som många var rädda för. Deras utveckling och inriktning mot andra sidan Östersjön har med EU-medlemskapet skapat goda grannar som bidrar till utveckling och stabilitet och därmed ökad trygghet för det svenska folket. När det gäller Ukraina menar Sverigedemokraterna – det säger de också i olika reservationer – att de inte vill se en ökad rörlighet för medborgarna därifrån, vilket är kontraproduktivt.",H10984,
KD,2014,svenska folket,svenska folket,"Herr talman! När man frågar svenska folket brukar man få beskedet: Nej, vi gillar inte det här med vinster. Ännu fler säger: Vi vill ha valfrihet.",H2098,
KD,2015,svenska folket,svenska folket,"Jag har särskilt lyft frågan att det är viktigt att vi kommer igång med repetitionsövningar, att vi kan få mannar, kan öva och få effekt. Det är viktigt att visa upp för svenska folket men också för omvärlden, liksom att vi har beredskapsövningar. Det är beklagligt att Socialdemokraterna tycks ha något slags beröringsskräck för en Natoutredning.",H20950,
KD,2017,svenska folket,Svenska folket,"Men var det inte så att regeringen tillsatte en samordnare mot Bromma flygplats som faktiskt ville lägga ned flygplatsen för att efter år 2038, då flygplatsens kontrakt löper ut, bygga bostäder på marken? Svenska folket och näringslivet vill ha Bromma flygplats kvar. Bromma är navet för inrikesflyget och är av stor betydelse för de regionala flygplatserna.",H40981,
KD,2019,svenska folket,svenska folket,"Men nu har man gjort en ny sökning, och detta har ökat, vill jag upplysa statsrådet om, med 30 procent. Frågan är mer aktuell nu än när jag tog upp den första gången, och tålamodet hos svenska folket tryter. Man måste se till att täppa till hålen.",H7094,
KD,2021,vanligt folk,vanligt folk,"Vi kan minnas vilka tider som stundade då. Han skickade med sin son följande ord, i min tolkning: Om du kan behålla fattningen när alla runt omkring dig Förlorar sin – och skyller det på dig, Om du kan lita på dig själv när alla andra tvivlar på dig, Men ändå låta deras tvivel få sitt rum; Om du kan vänta och inte bli trött av väntan, Eller om man ljuger om dig, inte svara dem med samma mynt, Eller du blir hatad, inte låna dig till hatet, Och ändå inte ge sken av att du är helgonlik och mycket vis, Om du kan drömma – och inte göra drömmen till din herre; Om du kan tänka – och inte göra tankar till ditt mål; Om du kan möta framgång eller svart förtvivlan, Och behandla båda dessa bedragare på samma sätt; Om du kan bära att själva sanningen som du har talat, Blev missbrukad till lögn, Eller se det som du gav ditt liv åt raserat, Och ändå böja dig och bygga upp det igen med slitna verktyg: Om du kan samla alla dina vinster Och riskera det i ett enda tärningskast, Och förlora allt och börja om från början Och aldrig med ett ord beklaga din förlust; Om du kan tvinga själva ditt hjärta, varje nerv och sena, Att tjäna dig långt efter att de mattats ut, Och härda ut när inget längre finns i dig Förutom viljan som bjuder dem: ”Håll ut!” Om du kan prata med alla sorters folk och ändå behålla hedern, Eller röra dig bland kungligheter – och ändå inte förlora förmågan att kunna samtala med vanligt folk, Om varken fiender eller omtänksamma vänner mer kan skada dig, Om alla räknar med dig, men ändå ingen alltför mycket; Om du kan fylla den obarmhärtiga minuten Med sextio sekunders innehåll, Din är då jorden och allt som finns på den, Och – vilket är mer – då är du en man, min son! (Applåder) Avslutning Ajournering Kammaren beslutade kl. 11.03 på förslag av talmannen att ajournera sammanträdet till kl. 15.00, då en särskild debatt om konflikten i Mellanöstern skulle äga rum.",H809147,
KD,2021,vanligt folk,vanligt folk,"Det är i sig förstås lite förvånande givet hur hennes parti tidigare uttryckt sig om saken, men låt oss lägga det åt sidan. Det jag undrar är i stället vilka reformer det är som slår undan benen för vanligt folk. Är det skattesänkningen om 150 kronor i månaden som alla som arbetar får?",H90942,
L,2002,svenska folket,svenska folket,80 % av svenska folket tycker att det är naturligt med språkkrav. Är 80 % av svenska folket främlingsfientliga? De flesta länder i världen har språkkrav för medborgarskap.,GQ0912,
L,2005,vanliga människor,vanliga människor,"Men vem är det som inte kommer att anse sig ha råd att åka? Det är tyvärr inte de högre statstjänstemännen, utan många vanliga människor som känner att detta är en politik som de inte riktigt accepterar.",GS0982,
L,2005,vanliga människor,vanliga människor,"Starkspriten beräknas i år inbringa i bästa fall 4 miljarder, vin lite mindre och öl knappt 3 miljarder. Det är jättelika skattehöjningar det är frågan om för vanliga människor. Socialdemokraterna, Vänsterpartiet och Miljöpartiet vill nu ha en ny skattetopp.",GS0995,
L,2005,vanliga människor,vanliga människor,Herr talman! Efter sommaren redovisade medierna rubriker som Hårt tryck på alkoholklinikerna och Allt fler så kallade vanliga människor söker vård för sitt alkoholmissbruk. Bland dessa vanliga människor fanns ett ökande antal unga.,GT0921,
L,2006,svenska folket,svenska folket,"En annan aspekt är att detta på sikt kan utmana det svenska folkets biståndsvilja. Ingenting är till värre skada för stödet för bistånd än om svenska folket får klart för sig att våra skattepengar går till odemokratiska regimer. Under den förra, socialdemokratiska regeringen var det bara drygt en femtedel av det bilaterala biståndet som gick till att stärka demokrati och mänskliga rättigheter.",GU0930,
L,2007,svenska folket,svenska folket,Det kom mycket folk. Jag har varit i flera städer i landet och kommer att fortsätta med det och samtala och resonera med svenska folket om konsekvenserna av det nya fördraget. En långsiktig energipolitik Fru talman!,GV0916,
L,2007,svenska folket,svenska folket,"Det som har avslöjats på senare tid är inte roligt, men det är inte heller helt nytt. Jag minns för min del när Gunnar Myrdal, Nobelpristagare och dessutom socialdemokratiskt före detta statsråd, i mitten av 1980talet förklarade att svenska folket var ett folk av fifflare. Tyvärr kan väldigt många saker i det skattesystem som vi gemensamt har utformat uppfattas som fusk.",GV0930,
L,2008,det svenska folket,det svenska folket,"Sanningen är att om man tittar lite närmare på dem och petar lite grann på dem rasar de ihop som ett korthus. De satsningar som Socialdemokraterna, Vänsterpartiet och Miljöpartiet vill göra säger de sig vilja betala via en kraftig skattechock som ska genomföras för det svenska folket. Mitt i en av de värsta lågkonjunkturer som vi har haft på decennier i Sverige vill Socialdemokraterna, Vänsterpartiet och Miljöpartiet kraftigt höja skatterna för låg- och medelinkomsttagare och för exempelvis den fordonsindustri som i dag kämpar för sin överlevnad.",GW0949,
L,2014,vanligt folk,vanligt folk,"Det finns 1 000 skolor över hela Sverige som berörs. Det är klart att era förslag får konsekvenser för vanligt folk, för vanliga människor i deras vardag. Herr talman!",H20916,
L,2020,vanligt folk,vanligt folk,Det är dem mina vänner och bekanta jobbar hos. Företagare är väl också vanligt folk? Herr talman!,H709141,
L,2022,svenska folket,Svenska folket,I en tid av stora globala klimatproblem ska vi i Sverige ta vårt ansvar för en mer hållbar värld. Svenska folket har röstat för förändring. Efter åtta år med Socialdemokraterna vid makten vill väljarna nu se en politik som tar itu med Sveriges problem.,HA099,
L,2022,svenska folket,svenska folket,"Det handlar om att väga in den aspekten, som tidigare har saknats enligt oss. Vi ser resultatet av att det har saknats i den respons som vi får av svenska folket på klimatpolitikens område. Det behöver tas in som aspekt.",HA0919,
L,2023,vanligt folk,vanligt folk,Till exempel gör man nu så att en polis nästa år i snitt får nästan 600 kronor i sänkt skatt varje månad. Med det sagt – när jag träffar vanligt folk säger de ofta att de inte har några problem med att betala skatt men att de vill veta vad skatten används till. De vill få någonting för skatten.,HB0938,
L,2023,svenska folket,svenska folket,"(Applåder) Fru talman! Jag vet inte om svenska folket nu går och hackar tänder av oro över på vilken sida och under vilken underrubrik en viss specificering i en resultatredovisning finns. Däremot, fru talman, kan man konstatera att måluppfyllelsen är god på det här området.",HB0949,
L,2024,vi svenskar,vi svenskar,"Vi måste i högre grad ta ansvar för vårt hav som helhet. Sverige har en av Europas längsta kuster, och vi svenskar bor i stor utsträckning längs kusterna. Vi har en stark tradition av sjöfart och båtliv.",HC0933,
M,2005,svenska folket,svenska folket,"Många människor som kanske har haft en god lön men av ett eller annat skäl tvingas gå ned i lön skulle förlora kraftfullt i sin ålderspension, livslångt, om de väljer att fortsätta att arbeta. I praktiken leder detta till att många väljer avtalspension i förtid eller förtidspension på ett sätt som inte kan stå i överensstämmelse med god ekonomi för den svenska statskassan och för svenska folket i sin helhet. Vi behöver driva arbetslinjen mycket kraftigt för dem som vill och kan och har förmågan att arbeta.",GS0991,
M,2006,vanliga människor,vanliga människor,Det har handlat om att man har lagt mycket höga skatter också på människor med låga och normala inkomster. Det har lönat sig för dåligt för vanliga människor att arbeta. Vi har haft en a-kassa och socialförsäkringar som har förlorat rollen som omställningsförsäkring.,GU0934,
M,2007,vanligt folk,vanligt folk,"Exemplet med flygskatterna är ett typexempel. I samma stund som det blir tillräckligt billigt för vanligt folk att flyga vill ni lägga skatt på det så att färre ska ha råd – men bara här i Sverige. Låt oss i stället bredda utsläppsrättssystemet så att det också omfattar flyget, som har stor betydelse för utsläppen.",GU09112,
M,2007,svenska folket,svenska folket,Det vilar ett stort ansvar på oss riksdagsledamöter och förtroendevalda. Är inte Miljöpartiet och Ulf Holm beredda att ta det ansvaret och själva driva frågan och inte lämpa över den på svenska folket?,GV0919,
M,2007,svenska folket,svenska folket,"Det är ungefär 40 procent av befolkningen. Att det sedan är 30 procent som nås av satsningarna i huvudsak och inte 40 procent är beklagligt, men förklaringen till det är att ni har brandskattat svenska folket genom fastighetsskatten och att ni har haft förmögenhetsskatten, som kraftigt har bromsat tillväxten i det här landet och som vi nu var tvungna att avveckla för Sveriges bästa. Det kanske är därför som vi inte har nått upp till just 40 procent av den arbetande befolkningen.",GV0938,
M,2008,svenska folket,svenska folket,Det var en väldigt ospecifik fråga. Vad jag menar är att vi från politikernas sida måste underlätta för de goda drivkrafter som jag upplever finns hos svenska folket i miljöfrågan.,GW0914,
M,2014,vanligt folk,vanligt folk,God ordning i svensk ekonomi har tryckt ned räntorna. Dessutom har vanligt folk fått mer kvar av sin egen lön. Vår politik har gett resultat.,H10954,
M,2015,svenska folket,svenska folket,Löfte efter löfte sviks nu. Jag förstår att svenska folket frågar sig vad ett löfte från statsministern egentligen är värt. Vilka fler löften avser statsministern att svika?,H20983,
M,2015,svenska folket,svenska folket,"Det krävs ingen hjärna av exempelvis Marie Curies eller Albert Einsteins kvalitet för att inse att detta är såväl obegripligt som oförklarligt ur ett alliansväljarperspektiv och därmed i högsta grad obefogat om man sätter de borgerliga väljarnas och sympatisörernas prioriteringar och vardagsberoende av politiska besluts betydelse för deras väl i första rummet. Jag vill därför till svenska folket göra en röstförklaring för egen del och få den förd till protokollet. Jag uppfattade tidigt att den så kallade decemberöverenskommelsen som hade slutits, och som i dag kan bekräftas vid omröstningen av finansutskottets betänkande nr 21, mötte ett kompakt motstånd bland vanliga borgerliga medlemmar i de fyra allianspartierna, för att inte tala om de miljontals många fler väljare som valt att rösta och sympatisera med Alliansens politik – inte minst vad gäller Sveriges framtida ekonomiska utveckling som nu en gång är den sol som alla andra politiska planeter cirklar runt.",H209117,
M,2015,svenska folket,svenska folket,De kunde inte få fram hur många inomhuspooler som har rengjorts med hjälp av RUT-avdraget. Min konklusion när det gäller försämringen är att det här är ren klasskampsretorik och att man vill tala om för svenska folket att avdraget används till någon sorts lyxkonsumtion som det faktiskt inte används till. I själva verket handlar det inte om lyxkonsumtion utan om att få vardagen att gå ihop för tusentals familjer runt om i landet.,H30926,
M,2015,svenska folket,svenska folket,"Maxtaxor på förskolorna gör att ingen längre har ett hum om vad en förskoleplats kostar. Så nej – svenska folket vet kanske delvis vad skattepengarna går till, men de flesta har ingen aning om detaljer eller proportioner. När vi politiker pratar om att det behövs skatteintäkter för skolan, sjukvården och äldreomsorgen är de allra flesta införstådda med det.",H30932,
M,2019,svenska folket,svenska folket,"Sverige har aldrig tidigare fått en regering som den här, en regering som inte förenas i ett gemensamt politiskt projekt eller en gemensam bild av Sveriges problem, än mindre i en gemensam uppfattning om vart Sverige borde vara på väg. Det här blir de ovilligas koalition, ett resonemangsäktenskap mellan parter som aldrig har älskat varandra och som för fyra månader sedan gjorde allt de kunde för att övertyga svenska folket om precis den saken: att de har olika värderingar och olika åsikter och just därför vill ha olika regeringar. Jag är för ett mått av pragmatism i politiken.",H60939,
M,2022,vanligt folk,vanligt folk,"Socialdemokraterna skär nu ned på biståndet, vilket de lovade att aldrig göra. Socialdemokraterna lovade att inte höja skatterna för vanligt folk som går och jobbar, nu när bistra tider väntar. Trots det vill de höja skatten med 1 000 kronor i månaden för 1 miljon löntagare.",HA0937,
M,2023,svenska folket,Svenska folket,"Man vill inte att polisen ska stå maktlös inför en stenkastande mobb eller skjutande tonåringar på rymmen från Sis-hem. Svenska folket vill att elförsörjningen ska vara robust i hela landet, även kalla och vindstilla vinterdagar. Man vill inte ha extrema elpriser eller nödstartade oljekraftverk.",HB093,
M,2025,svenska folket,svenska folket,"Det är tydligt att det är plågsamt för Socialdemokraterna att få frågor om detta, och det är plågsamt för att man inte kan ge svar. Man kommer alltså inte att före valet kunna presentera vad som händer med migrationspolitiken trots att det är en fråga som svenska folket tycker är relevant och viktig. En stor majoritet tycker ju att det är viktigt att detta paradigmskifte genomförs, men om man röstar på Socialdemokraterna kommer man alltså inte att kunna veta om deras utlovade strama migrationspolitik blir verklighet.",HC0982,
MP,2002,svenska folket,svenska folket,"Och för att Migrationsverket ska kunna utföra sina uppgifter, framför allt de uppgifter som Jan O Karlsson talar om, på ett gott sätt krävs det att det finns förtroende, vilket givetvis skamfilas ytterst om man gillrar fällor och på andra sätt utnyttjar sitt förtroende för att utvisa människor. Jag ställer mig också frågande till det som Jan O Karlsson talade om när det gäller att man ska ha förtroende bland svenska folket. Jag vill fråga Jan O Karlsson vad han egentligen menar med det.",GQ0926,
MP,2003,vi svenskar,vi svenskar,Enligt mig finns det en övertro på detta EU-begrepp. Närhetsprincipen används inte i EU på det sätt som vi svenskar oftast skulle vilja. När jag själv satt i EU-parlamentet ställde jag en fråga till EU-kommissionen om hur ofta man använt sig av närhetsprincipen sedan den infördes.,GQ09119,
MP,2007,svenska folket,svenska folket,Fru talman! Vi ska dock inte låta oss tyngas av att utskottsmajoriteten inte tycks våga ge sin regering några uppdrag utan kanske ta till oss det som en signal om att alliansens riksdagsledamöter liksom svenska folket inte längre tycks ha så stort förtroende för arbetet i Regeringskansliet. Fru talman!,GU0988,
MP,2007,svenska folket,svenska folket,Det är till fördel för alla. Det är till fördel för svenska folket som är undrande över den frågan. Det är också till fördel för gaskonsortiet som behöver få klara och tydliga regler tidigt för att slippa att investeringar görs förgäves.,GV0950,
MP,2009,svenska folket,svenska folket,Varför inte säga att vi även borde rösta om Lissabonfördraget i en folkomröstning? Också det har ju en stor majoritet av svenska folket varit kritisk till. Det finns flera sådana intressanta frågor.,GW09122,
MP,2009,vanliga svenskar,vanliga svenskar,Historien har visat att det här inte hjälpte ett smack. Trots det lagstiftade skyddet kunde IB övervaka vanliga svenskar och lagra deras personuppgifter. Frågan är vad vi kan lära oss av detta.,GX0913,
MP,2012,svenska folket,svenska folket,"De summor som Anna-Karin Hatt talar om är väldigt små i relation till de minst 1 000 miljarder kronor som olyckan i Fukushima bedöms kosta. Att Miljöpartiet engagerar sig i den här frågan om kärnkraftssubventioner beror både på att det är ett svek mot riksdagen och svenska folket att man nu inte uppfyller löftet om att inte ha några subventioner och på att det försämrar förutsättningarna för förnybar energi när man håller kärnkraften under armarna. Sveriges befintliga kärnkraft är instabil, gammal och osäker.",GZ09119,
MP,2018,vi svenskar,vi svenskar,"Vi har till och med öronmärkt särskilda medel – hela 25 miljoner kronor – just till biografer på landsbygden för att de ska kunna finnas kvar, utvecklas och gå igenom det tekniska skifte som pågår för att kunna möta den publik som finns där. Vi vet att vi svenskar vill se svensk film. Svensk film är väldigt populär.",H50955,
MP,2020,svenska folket,svenska folket,"Den innefattar också krisen, och klimatkrisen och extrema väderhändelser finns som utgångspunkt för broschyren. Den handlar ju inte om hur man undviker krig utan om vad man gör i en akut situation och vilken beredskap svenska folket behöver ha. Jag tycker att den täcker in vad som kan hända vid extrema väderhändelser, översvämningar, bränder och så vidare till följd av klimatförändringar.",H70983,
MP,2020,vanligt folk,vanligt folk,Det blir konsekvensen av att inte stimulera miljöbilar. Om andrahandsmarknaden består av fler fossila bilar kommer vanligt folk som bor på landsbygden och som behöver sin bil – vi kan enas om att de behöver bil för att kunna transportera sig – att få det dyrare att ta sig till jobbet med moderat politik. Det blir konsekvensen av den politik som Moderaterna driver.,H80942,
MP,2021,vanliga människor,vanliga människor,"Det handlar inte bara om våra försvars- och säkerhetspolitiska behov. Det handlar ju också om helt vanliga människor som lever i världen och som har dragit en lott i livets lotteri som inte är att sitta här en försommarkväll. Det handlar om människor som lever i till exempel Jemen, som en stor del av debatten fokuserar på.",H809137,
MP,2023,svenska folket,svenska folket,Det är en signalpolitik som kommer att förvägra små barn att växa upp med sina mammor och pappor. Detta är inte vad svenska folket vill. En klar majoritet tycker att det är fel väg att gå.,HA0992,
MP,2024,svenska folket,svenska folket,"Varför kan inte regeringen tydliggöra Sveriges hållning när det gäller kärnvapen genom att ta fram en lagstiftning som tydligt förbjuder kärnvapen på svenskt territorium? Det hade varit det absolut tydligaste sättet att vara öppen och transparent mot svenska folket, våra grannländer och våra allierade inom Nato. Herr talman!",HB09135,
MP,2026,vi svenskar,vi svenskar,"Fru talman! En av Miljöpartiets reservationer handlar om krisberedskap och att det ska finnas en handlingsplan, så att vi svenskar faktiskt vet vad man ska göra när det slår till och är förberedda i stället för att vara reaktiva. Svenska bönder är navet i vår livsmedelsförsörjning och livsmedelsberedskap.",HD0965,
MP,2026,svenska folket,svenska folket,"Jag som har suttit med i skogsutredningens referensgrupp har sett flera andra förslag som Tidöregeringen inte lyckats pressa igenom, så trots att det är ett dåligt förslag vi har framför oss är jag glad att det inte är fyllt av fler tokigheter än dem som jag nu har presenterat. Det finns också hopp i att 80 procent av svenska folket tycker att det är viktigt och väldigt angeläget att snabbt få till ett skydd av Sveriges sista ur- och naturskogar. Det finns också ett hopp i att bara genom att gå in i riksdagen i dag mötas av flera medborgare som har kommit hit för att påpeka hur viktigt det är att vi lägger om skogspolitiken, som i dag gynnar skogsindustrin snarare än de många skogsägarna i Sverige.",HD09141,
S,2005,svenska folket,svenska folket,Vi kan mycket väl tänka oss att fördjupa samarbetet och utveckla det. Formerna för det avgörs ytterst av svenska folket i val. Jag för min del kommer att gå till val med en riksdagsgrupp som säkert rekommenderar mig att säga att jag ska sikta på en socialdemokratisk regering.,GT099,
S,2006,det svenska folket,det svenska folket,"Jag vill gärna börja med att säga att de busfasoner som det här så kallade partiet som Åsa Torstensson refererar till håller på med är värt bara förakt. Det finns inget stöd någonstans, såvitt jag förstår, bland det svenska folket för den typ av förkastliga aktiviteter som de håller på med. Jag beklagar naturligtvis att en offentlig person som toppkandidaten har valt att göra Osynliga partiet synligt, såvitt jag förstår mot deras egen önskan, genom att lyfta fram dem på det här sättet.",GT09116,
S,2008,svenska folket,svenska folket,"Det är helt barockt. Om Jan Björklund inte lyssnar på oss socialdemokrater – det gör han aldrig – så lyssna på lärarorganisationerna, lyssna på forskarna och lyssna framför allt på svenska folket. Enligt den undersökning som Jan Björklund hänvisade till tidigare och som är gjord av Synovate tycker 72 procent av den svenska befolkningen att det är dåligt att införa betyg från första klass.",GV0969,
S,2009,svenska folket,svenska folket,"Det är uppenbart att ni utformade en politik för vackert väder och inte klarade att hantera den högkonjunktur som ni fick till skänks. De överskott som svenska folket tillsammans med Socialdemokraterna, Miljöpartiet och Vänsterpartiet hade arbetat upp i de offentliga finanserna satte ni sprätt på med skattesänkningar. En halv miljon människor trängde ni ut ur a-kassan.",GW0982,
S,2010,vanliga människor,vanliga människor,"Mycket av kritiken mot EU har handlat om att det är för slutet och inåtvänt utan riktiga påverkansmöjligheter för vanliga medborgare. Nu ska inte betydelsen av medborgarinitiativ överskattas, men varje steg i riktning mot att öppna upp processen och EU:s beslutsvägar och att öka inflytandet och möjligheterna för vanliga människor att påverka måste ses positivt. För det tredje: Hur kommer det då att se ut i praktiken?",GX0964,
S,2011,svenska folket,svenska folket,"Tvärtom ökar den. Det finns en stark vilja hos svenska folket till solidaritet, och då måste det fungera och omfatta oss alla. Detta solidaritetskontrakt har Moderaterna, det parti ministern företräder, aldrig tyckt om.",GZ0933,
